Dec 14 04:39:51.366 INFO configured Copa, delta_mode: Auto, default_delta: 0.25, init_cwnd: 0, ipc: netlink
Dec 14 04:39:51.366 INFO starting CCP, ipc: netlink, algorithm: copa
Dec 14 04:40:08.541 DEBG creating new flow, dst_port: 20756, dst_ip: 16793700, src_port: 44775, src_ip: 67125348, mss: 1448, init_cwnd: 14480, sid: 1
Dec 14 04:40:08.542 INFO starting copa flow, sock_id: 1
Dec 14 04:40:08.608 DEBG got ack, report_interval: 3018487959440, mode: const, velocity: 1, base_rtt: 24200, min_rtt: 24200, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 10, acked(pkts): 1
Dec 14 04:40:08.860 DEBG got ack, report_interval: 251909, mode: const, velocity: 1, base_rtt: 22905, min_rtt: 22905, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 12, acked(pkts): 2
Dec 14 04:40:09.112 DEBG got ack, report_interval: 251283, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 22178, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 13, acked(pkts): 1
Dec 14 04:40:09.124 DEBG got ack, report_interval: 12490, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 23114, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 23, acked(pkts): 10
Dec 14 04:40:09.138 DEBG got ack, report_interval: 13110, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 23260, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 25, acked(pkts): 2
Dec 14 04:40:09.150 DEBG got ack, report_interval: 13321, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 23462, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 36, acked(pkts): 11
Dec 14 04:40:09.165 DEBG got ack, report_interval: 14389, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25340, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 36, acked(pkts): 3
Dec 14 04:40:09.178 DEBG got ack, report_interval: 12743, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 27746, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 35, acked(pkts): 10
Dec 14 04:40:09.190 DEBG got ack, report_interval: 12833, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 34074, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 34, acked(pkts): 10
Dec 14 04:40:09.203 DEBG got ack, report_interval: 12524, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 39934, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 33, acked(pkts): 11
Dec 14 04:40:09.216 DEBG got ack, report_interval: 12582, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 40346, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 12
Dec 14 04:40:09.228 DEBG got ack, report_interval: 12644, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 35417, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 30, acked(pkts): 11
Dec 14 04:40:09.241 DEBG got ack, report_interval: 12782, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 34584, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 29, acked(pkts): 11
Dec 14 04:40:09.254 DEBG got ack, report_interval: 12599, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 34579, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 27, acked(pkts): 12
Dec 14 04:40:09.266 DEBG got ack, report_interval: 12746, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 24077, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 30, acked(pkts): 18
Dec 14 04:40:09.280 DEBG got ack, report_interval: 13593, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 22879, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 12
Dec 14 04:40:09.295 DEBG got ack, report_interval: 15173, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 24084, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 33, acked(pkts): 14
Dec 14 04:40:09.309 DEBG got ack, report_interval: 13886, mode: const, velocity: 1, base_rtt: 22178, min_rtt: 25394, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 31, acked(pkts): 14
