Dec 14 04:41:43.854 INFO configured Copa, delta_mode: Auto, default_delta: 0.25, init_cwnd: 0, ipc: netlink
Dec 14 04:41:43.854 INFO starting CCP, ipc: netlink, algorithm: copa
Dec 14 04:42:56.647 DEBG creating new flow, dst_port: 20756, dst_ip: 16793700, src_port: 46823, src_ip: 67125348, mss: 1448, init_cwnd: 14480, sid: 1
Dec 14 04:42:56.648 INFO starting copa flow, sock_id: 1
Dec 14 04:42:57.031 DEBG got ack, report_interval: 3018656382057, mode: const, velocity: 1, base_rtt: 125240, min_rtt: 125240, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 10, acked(pkts): 1
Dec 14 04:42:57.552 DEBG got ack, report_interval: 521385, mode: const, velocity: 1, base_rtt: 123012, min_rtt: 123012, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 12, acked(pkts): 2
Dec 14 04:42:58.060 DEBG got ack, report_interval: 507202, mode: const, velocity: 1, base_rtt: 118175, min_rtt: 118175, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 13, acked(pkts): 1
Dec 14 04:42:58.180 DEBG got ack, report_interval: 120594, mode: const, velocity: 1, base_rtt: 117935, min_rtt: 117935, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 24, acked(pkts): 11
Dec 14 04:42:58.301 DEBG got ack, report_interval: 121052, mode: const, velocity: 1, base_rtt: 117935, min_rtt: 118022, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 38, acked(pkts): 14
Dec 14 04:42:58.363 DEBG got ack, report_interval: 62024, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 116077, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 62, acked(pkts): 24
Dec 14 04:42:58.424 DEBG got ack, report_interval: 61060, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 116371, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 65, acked(pkts): 3
Dec 14 04:42:58.523 DEBG got ack, report_interval: 98970, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 116355, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 101, acked(pkts): 36
Dec 14 04:42:58.583 DEBG got ack, report_interval: 59608, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 117688, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 140, acked(pkts): 40
Dec 14 04:42:58.656 DEBG got ack, report_interval: 73002, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 116358, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 167, acked(pkts): 27
Dec 14 04:42:58.716 DEBG got ack, report_interval: 60050, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 117244, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 219, acked(pkts): 52
Dec 14 04:42:58.777 DEBG got ack, report_interval: 61191, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 126190, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 219, acked(pkts): 68
Dec 14 04:42:58.837 DEBG got ack, report_interval: 59556, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 142717, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 218, acked(pkts): 57
Dec 14 04:42:58.896 DEBG got ack, report_interval: 59243, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 158743, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 217, acked(pkts): 52
Dec 14 04:42:58.955 DEBG got ack, report_interval: 59306, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 175408, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 216, acked(pkts): 52
Dec 14 04:42:59.015 DEBG got ack, report_interval: 59268, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 215165, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 215, acked(pkts): 65
Dec 14 04:42:59.074 DEBG got ack, report_interval: 59790, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 217869, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 213, acked(pkts): 62
Dec 14 04:42:59.134 DEBG got ack, report_interval: 60067, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 204006, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 212, acked(pkts): 69
Dec 14 04:42:59.195 DEBG got ack, report_interval: 60122, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 192467, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 211, acked(pkts): 60
Dec 14 04:42:59.255 DEBG got ack, report_interval: 60598, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 211, acked(pkts): 0
Dec 14 04:42:59.315 DEBG got ack, report_interval: 59691, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 193747, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 209, acked(pkts): 122
Dec 14 04:42:59.376 DEBG got ack, report_interval: 60918, mode: const, velocity: 1, base_rtt: 116077, min_rtt: 0, delta: 0.25, sacked: 0, loss: 0, curr_cwnd (pkts): 209, acked(pkts): 0
